Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,432.92,35910.71,35910.71,35910.71
Bank of America,231.52,19204.58,19204.58,19204.58
Industrial and Commercial Bank of China,194.56,16138.75,16138.75,16138.75
Agricultural Bank of China,160.68,13328.41,13328.41,13328.41
HDFC Bank,157.91,13098.63,13098.63,13098.63
Wells Fargo,155.87,12929.42,12929.42,12929.42
HSBC Holdings PLC,148.9,12351.26,12351.26,12351.26
Morgan Stanley,140.83,11681.85,11681.85,11681.85
China Construction Bank,139.82,11598.07,11598.07,11598.07
Bank of China,136.81,11348.39,11348.39,11348.39
